,YEAR,MONTH,DAY,Rain,Snow
0,1950,1,1,True,False
1,1950,1,2,True,False
2,1950,1,3,True,False
3,1950,1,4,True,True
4,1950,1,5,False,False
5,1950,1,6,False,True
6,1950,1,7,False,True
7,1950,1,8,False,True
8,1950,1,9,False,False
9,1950,1,10,True,False
10,1950,1,11,False,True
11,1950,1,12,False,False
12,1950,1,13,True,False
13,1950,1,14,True,False
14,1950,1,15,True,True
15,1950,1,16,True,False
16,1950,1,17,False,False
17,1950,1,18,False,True
18,1950,1,19,False,False
19,1950,1,20,False,True
20,1950,1,21,False,True
21,1950,1,22,True,False
22,1950,1,23,True,False
23,1950,1,24,True,False
24,1950,1,25,False,False
25,1950,1,26,True,False
26,1950,1,27,False,False
27,1950,1,28,False,False
28,1950,1,29,True,False
29,1950,1,30,False,True
30,1950,1,31,False,True
31,1950,2,1,False,False
32,1950,2,2,True,False
33,1950,2,3,False,False
34,1950,2,4,False,False
35,1950,2,5,False,False
36,1950,2,6,True,False
37,1950,2,7,True,False
38,1950,2,8,False,False
39,1950,2,9,True,True
40,1950,2,10,False,False
41,1950,2,11,True,False
42,1950,2,12,False,False
43,1950,2,13,True,True
44,1950,2,14,True,True
45,1950,2,15,True,True
46,1950,2,16,False,True
47,1950,2,17,False,True
48,1950,2,18,True,False
49,1950,2,19,True,True
50,1950,2,20,False,True
51,1950,2,21,False,True
52,1950,2,22,False,True
53,1950,2,23,False,True
54,1950,2,24,False,True
55,1950,2,25,False,False
56,1950,2,26,False,False
57,1950,2,27,False,False
58,1950,2,28,True,True
59,1950,3,1,False,True
60,1950,3,2,False,False
61,1950,3,3,False,True
62,1950,3,4,False,False
63,1950,3,5,False,False
64,1950,3,6,False,False
65,1950,3,7,False,False
66,1950,3,8,True,True
67,1950,3,9,False,True
68,1950,3,10,False,False
69,1950,3,11,True,True
70,1950,3,12,True,True
71,1950,3,13,False,True
72,1950,3,14,False,False
73,1950,3,15,False,True
74,1950,3,16,False,False
75,1950,3,17,True,True
76,1950,3,18,False,True
77,1950,3,19,False,False
78,1950,3,20,False,False
79,1950,3,21,True,False
80,1950,3,22,True,False
81,1950,3,23,True,False
82,1950,3,24,True,True
83,1950,3,25,True,True
84,1950,3,26,True,True
85,1950,3,27,True,False
86,1950,3,28,True,False
87,1950,3,29,True,True
88,1950,3,30,False,False
89,1950,3,31,False,False
90,1950,4,1,True,True
91,1950,4,2,True,False
92,1950,4,3,True,False
93,1950,4,4,True,False
94,1950,4,5,False,True
95,1950,4,6,False,True
96,1950,4,7,False,False
97,1950,4,8,True,True
98,1950,4,9,False,False
99,1950,4,10,True,False
100,1950,4,11,True,True
101,1950,4,12,False,True
102,1950,4,13,False,True
103,1950,4,14,False,False
104,1950,4,15,False,False
105,1950,4,16,False,False
106,1950,4,17,True,False
107,1950,4,18,False,False
108,1950,4,19,True,False
109,1950,4,20,True,False
110,1950,4,21,True,True
111,1950,4,22,True,False
112,1950,4,23,True,False
113,1950,4,24,True,False
114,1950,4,25,True,False
115,1950,4,26,False,False
116,1950,4,27,True,True
117,1950,4,28,False,False
118,1950,4,29,False,False
119,1950,4,30,True,False
120,1950,5,1,True,False
121,1950,5,2,False,False
122,1950,5,3,False,False
123,1950,5,4,False,False
124,1950,5,5,True,False
125,1950,5,6,False,False
126,1950,5,7,False,False
127,1950,5,8,False,False
128,1950,5,9,True,False
129,1950,5,10,True,False
130,1950,5,11,False,False
131,1950,5,12,False,False
132,1950,5,13,True,False
133,1950,5,14,False,False
134,1950,5,15,True,False
135,1950,5,16,False,False
136,1950,5,17,True,False
137,1950,5,18,False,False
138,1950,5,19,False,False
139,1950,5,20,False,False
140,1950,5,21,False,False
141,1950,5,22,True,False
142,1950,5,23,True,False
143,1950,5,24,True,False
144,1950,5,25,True,False
145,1950,5,26,True,False
146,1950,5,27,True,False
147,1950,5,28,False,False
148,1950,5,29,False,False
149,1950,5,30,False,False
150,1950,5,31,True,False
151,1950,6,1,False,False
152,1950,6,2,True,False
153,1950,6,3,True,False
154,1950,6,4,False,False
155,1950,6,5,False,False
156,1950,6,6,False,False
157,1950,6,7,False,False
158,1950,6,8,False,False
159,1950,6,9,True,False
160,1950,6,10,True,False
161,1950,6,11,False,False
162,1950,6,12,True,False
163,1950,6,13,True,False
164,1950,6,14,False,False
165,1950,6,15,False,False
166,1950,6,16,False,False
167,1950,6,17,True,False
168,1950,6,18,True,False
169,1950,6,19,False,False
170,1950,6,20,False,False
171,1950,6,21,True,False
172,1950,6,22,False,False
173,1950,6,23,True,False
174,1950,6,24,True,False
175,1950,6,25,True,False
176,1950,6,26,True,False
177,1950,6,27,False,False
178,1950,6,28,False,False
179,1950,6,29,True,False
180,1950,6,30,True,False
181,1950,7,1,False,False
182,1950,7,2,True,False
183,1950,7,3,False,False
184,1950,7,4,True,False
185,1950,7,5,False,False
186,1950,7,6,False,False
