YEAR,MONTH,DAY,Temperature
1937,1,1,0.5
1937,1,2,0.17
1937,1,3,-1.06
1937,1,4,-3.89
1937,1,5,-0.17
1937,1,6,-3.67
1937,1,7,3.67
1937,1,8,6.22
1937,1,9,2.22
1937,1,10,-2.83
1937,1,11,-4.89
1937,1,12,-0.33
1937,1,13,-2.0
1937,1,14,7.94
1937,1,15,1.0
1937,1,16,-4.83
1937,1,17,-0.17
1937,1,18,2.28
1937,1,19,-5.67
1937,1,20,-2.56
1937,1,21,2.5
1937,1,22,-3.0
1937,1,23,-8.5
1937,1,24,-6.39
1937,1,25,-0.89
1937,1,26,-4.83
1937,1,27,-6.78
1937,1,28,-2.06
1937,1,29,0.11
1937,1,30,0.17
1937,1,31,2.06
1937,2,1,-5.5
1937,2,2,-5.89
1937,2,3,-5.17
1937,2,4,-4.44
1937,2,5,-2.44
1937,2,6,-1.33
1937,2,7,-6.22
1937,2,8,3.17
1937,2,9,0.11
1937,2,10,-7.28
1937,2,11,-6.5
1937,2,12,3.44
1937,2,13,3.28
1937,2,14,-0.06
1937,2,15,-1.28
1937,2,16,-2.22
1937,2,17,-3.56
1937,2,18,0.28
1937,2,19,3.06
1937,2,20,3.0
1937,2,21,4.67
1937,2,22,-3.0
1937,2,23,-4.61
1937,2,24,-3.94
1937,2,25,-7.94
1937,2,26,-3.06
1937,2,27,-1.33
1937,2,28,-4.61
1937,3,1,-1.78
1937,3,2,0.67
1937,3,3,-0.33
1937,3,4,3.89
1937,3,5,1.83
1937,3,6,4.17
1937,3,7,-1.28
1937,3,8,1.39
1937,3,9,-6.56
1937,3,10,-8.11
1937,3,11,-4.89
1937,3,12,-0.94
1937,3,13,-1.61
1937,3,14,-2.78
1937,3,15,-2.78
1937,3,16,-1.67
1937,3,17,1.44
1937,3,18,2.28
1937,3,19,2.06
1937,3,20,0.78
1937,3,21,3.17
1937,3,22,2.56
1937,3,23,4.06
1937,3,24,0.72
1937,3,25,-4.67
1937,3,26,-6.22
1937,3,27,-1.06
1937,3,28,0.56
1937,3,29,2.33
1937,3,30,1.17
1937,3,31,2.72
1937,4,1,4.06
1937,4,2,4.11
1937,4,3,1.61
1937,4,4,6.67
1937,4,5,9.5
1937,4,6,5.0
1937,4,7,4.78
1937,4,8,5.56
1937,4,9,2.78
1937,4,10,2.28
1937,4,11,3.94
1937,4,12,6.11
1937,4,13,11.06
1937,4,14,9.5
1937,4,15,3.94
1937,4,16,3.17
1937,4,17,6.11
1937,4,18,9.5
1937,4,19,12.22
1937,4,20,6.94
1937,4,21,6.0
1937,4,22,6.06
1937,4,23,6.94
1937,4,24,8.78
1937,4,25,9.11
1937,4,26,5.61
1937,4,27,5.94
1937,4,28,8.39
1937,4,29,9.06
1937,4,30,12.56
1937,5,1,13.06
1937,5,2,14.39
1937,5,3,15.72
1937,5,4,15.33
1937,5,5,12.33
1937,5,6,8.78
1937,5,7,9.5
1937,5,8,13.44
1937,5,9,13.67
1937,5,10,9.94
1937,5,11,12.78
1937,5,12,15.56
1937,5,13,15.67
1937,5,14,8.17
1937,5,15,9.83
1937,5,16,12.33
1937,5,17,13.83
1937,5,18,11.89
1937,5,19,10.28
1937,5,20,11.78
1937,5,21,14.61
1937,5,22,17.44
1937,5,23,14.22
1937,5,24,14.06
1937,5,25,15.44
1937,5,26,18.39
1937,5,27,18.11
1937,5,28,17.89
1937,5,29,18.72
1937,5,30,20.61
1937,5,31,23.83
1937,6,1,22.39
1937,6,2,16.44
1937,6,3,19.89
1937,6,4,18.67
1937,6,5,19.89
1937,6,6,21.61
1937,6,7,19.28
1937,6,8,18.28
1937,6,9,14.83
1937,6,10,12.78
1937,6,11,15.83
1937,6,12,19.44
1937,6,13,18.06
1937,6,14,19.22
1937,6,15,19.33
1937,6,16,19.72
1937,6,17,20.61
1937,6,18,18.39
1937,6,19,18.11
1937,6,20,21.0
1937,6,21,22.89
1937,6,22,19.67
1937,6,23,17.72
1937,6,24,20.72
1937,6,25,22.89
1937,6,26,24.39
1937,6,27,22.72
1937,6,28,21.56
1937,6,29,18.17
1937,6,30,14.67
1937,7,1,16.11
1937,7,2,17.11
1937,7,3,17.17
1937,7,4,21.5
1937,7,5,23.0
1937,7,6,24.44
1937,7,7,26.61
1937,7,8,28.39
1937,7,9,27.61
1937,7,10,25.56
1937,7,11,26.0
1937,7,12,24.11
1937,7,13,23.67
1937,7,14,24.5
1937,7,15,25.44
1937,7,16,26.61
1937,7,17,21.83
1937,7,18,20.06
1937,7,19,19.06
1937,7,20,20.17
1937,7,21,22.28
1937,7,22,24.17
1937,7,23,25.39
1937,7,24,23.67
1937,7,25,21.89
1937,7,26,16.78
1937,7,27,17.11
1937,7,28,20.22
1937,7,29,23.22
1937,7,30,21.83
1937,7,31,21.28
1937,8,1,19.11
1937,8,2,21.0
1937,8,3,22.67
1937,8,4,23.83
1937,8,5,24.33
1937,8,6,24.06
1937,8,7,23.0
1937,8,8,23.39
1937,8,9,23.11
1937,8,10,23.78
1937,8,11,23.33
1937,8,12,22.33
1937,8,13,21.61
1937,8,14,20.39
1937,8,15,23.61
1937,8,16,24.83
1937,8,17,25.5
1937,8,18,22.0
1937,8,19,26.61
1937,8,20,26.78
1937,8,21,22.33
1937,8,22,18.33
1937,8,23,18.17
1937,8,24,20.89
1937,8,25,22.44
1937,8,26,23.06
1937,8,27,24.5
1937,8,28,24.56
1937,8,29,24.5
1937,8,30,24.94
1937,8,31,24.83
1937,9,1,25.0
1937,9,2,26.11
1937,9,3,27.56
1937,9,4,22.94
1937,9,5,15.56
1937,9,6,16.22
1937,9,7,18.17
1937,9,8,19.94
1937,9,9,21.11
1937,9,10,21.39
1937,9,11,19.78
1937,9,12,14.0
1937,9,13,11.06
1937,9,14,12.0
1937,9,15,17.11
1937,9,16,11.5
1937,9,17,10.22
1937,9,18,13.72
1937,9,19,12.67
1937,9,20,10.61
1937,9,21,13.94
1937,9,22,17.11
1937,9,23,19.11
1937,9,24,21.28
1937,9,25,16.06
1937,9,26,10.78
1937,9,27,9.72
1937,9,28,11.83
1937,9,29,13.11
1937,9,30,15.44
1937,10,1,19.72
1937,10,2,14.83
1937,10,3,12.72
1937,10,4,15.61
1937,10,5,18.67
1937,10,6,20.0
1937,10,7,10.61
1937,10,8,6.72
